location_id,name,area,location_type,x_coord,y_coord
L046,Tema Industrial Area,Tema,Industrial,5.690,-0.017
L047,Tema General Hospital,Tema,Hospital,5.670,-0.016
L048,Tema Community Market,Tema,Market,5.676,-0.011
L049,Nungua Residential Area,Nungua,House,5.601,-0.068
L050,Nungua Industrial Centre,Nungua,Factory,5.610,-0.067
L051,Legon Botanical Gardens,Legon,Recreation,5.666,-0.184
L052,UG Central Administration,Legon,Office,5.652,-0.191
L053,UG School of Education,Legon,Academic,5.646,-0.181
L054,UG School of Arts,Legon,Academic,5.649,-0.179
L055,UG Night Market,Legon,Market,5.644,-0.182
L056,Legon Township Market,Legon,Market,5.638,-0.186
L057,Atomic Junction,Atomic,Transport,5.674,-0.176
L058,Atomic Hills Residential Area,Atomic,House,5.671,-0.173
L059,University Staff Club,Legon,Recreation,5.657,-0.181
L060,UG Graduate School,Legon,Academic,5.651,-0.184
L061,Okponglo Junction,Okponglo,Transport,5.635,-0.191
L062,Okponglo Residential Area,Okponglo,House,5.632,-0.188
L063,East Legon Executive Fitness Centre,East Legon,Recreation,5.638,-0.159
L064,East Legon Hills Market,East Legon,Market,5.653,-0.157
L065,American International School,East Legon,School,5.641,-0.166
L066,East Legon Police Station,East Legon,Security,5.634,-0.164
L067,Shiashie Market,Shiashie,Market,5.622,-0.178
L068,Shiashie Residential Area,Shiashie,House,5.620,-0.181
L069,Achimota Forest Reserve,Achimota,Recreation,5.618,-0.205
L070,Achimota Transport Terminal,Achimota,Transport,5.611,-0.224
L071,Achimota Residential Area,Achimota,House,5.608,-0.228
L072,Achimota Police Station,Achimota,Security,5.612,-0.220
L073,Abeka Market,Abeka,Market,5.585,-0.218
L074,Abeka Residential Area,Abeka,House,5.581,-0.216
L075,Abeka Lapaz Road Junction,Abeka,Transport,5.579,-0.225
L076,Dansoman Market,Dansoman,Market,5.533,-0.252
L077,Dansoman Residential Area,Dansoman,House,5.529,-0.255
L078,Dansoman Police Station,Dansoman,Security,5.535,-0.248
L079,Kaneshie Transport Terminal,Kaneshie,Transport,5.560,-0.229
L080,Kaneshie Polyclinic,Kaneshie,Health,5.558,-0.231
L081,Odorkor Market,Odorkor,Market,5.552,-0.244
L082,Odorkor Residential Area,Odorkor,House,5.548,-0.241
L083,Mataheko Market,Mataheko,Market,5.560,-0.211
L084,Accra Central Post Office,Accra Central,Office,5.550,-0.202
L085,Accra City Hall,Accra Central,Office,5.550,-0.207
L086,Korle Bu Teaching Hospital,Korle Bu,Hospital,5.535,-0.226
L087,Korle Bu Residential Area,Korle Bu,House,5.539,-0.221
L088,James Town Market,James Town,Market,5.544,-0.213
L089,Jamestown Police Station,James Town,Security,5.545,-0.211
L090,Independence Square,Osu,Recreation,5.551,-0.187
L091,Osu Castle,Osu,Government,5.550,-0.176
L092,Osu Police Hospital,Osu,Hospital,5.558,-0.185
L093,Labone Market,Labone,Market,5.562,-0.180
L094,Cantonments Police Station,Cantonments,Security,5.578,-0.178
L095,Cantonments Market,Cantonments,Market,5.581,-0.181
L096,Teshie Market,Teshie,Market,5.583,-0.095
L097,Teshie Residential Area,Teshie,House,5.585,-0.102
L098,Nungua Market,Nungua,Market,5.598,-0.066
L099,Nungua Police Station,Nungua,Security,5.604,-0.071
L100,Spintex Community Hospital,Spintex,Hospital,5.613,-0.172
